NODEID,XCOORD,YCOORD,FLOOR,BUILDING,NODETYPE,LONGNAME,SHORTNAME,TEAMASSIGNED
UDEPT00104,1145,442,4,1153 Centre St,DEPT,Cardiology,DEPT U0104,Team U
UDEPT00204,2075,1220,4,1153 Centre St,DEPT,Foot and Ankle Center,DEPT U0204,Team U
UDEPT00304,1300,285,4,1153 Centre St,DEPT,Gastroenterology Associates,DEPT U0304,Team U
UDEPT00404,1225,280,4,1153 Centre St,DEPT,HVMA Internal Medicine,DEPT U0404,Team U
UDEPT00504,1355,340,4,1153 Centre St,DEPT,HVMA Neurology,DEPT U0504,Team U
UDEPT00604,1630,1220,4,1153 Centre St,DEPT,Medical Library,DEPT U0604,Team U
UDEPT00704,1250,997,4,1153 Centre St,DEPT,MOHS Clinic,DEPT U0704,Team U
UDEPT00804,1250,650,4,1153 Centre St,DEPT,Neurology,DEPT U0804,Team U
UDEPT00904,1585,1220,4,1153 Centre St,DEPT,Primary Care Physicians,DEPT U0904,Team U
UDEPT01004,1255,645,4,1153 Centre St,DEPT,Pulmonary Services,DEPT U1004,Team U
UDEPT01104,1360,440,4,1153 Centre St,DEPT,Rhumetology Center,DEPT U1104,Team U
UCONF00104,1100,1220,4,1153 Centre St,CONF,Sadowsky Conference Room,CONF U0104,Team U
UDEPT01204,740,1220,4,1153 Centre St,DEPT,Social Work,DEPT U1204,Team U
UCONF00204,450,1220,4,1153 Centre St,CONF,Tynan Conference Room,CONF U0204,Team U
UDEPT01304,385,1220,4,1153 Centre St,DEPT,Urology,DEPT U1304,Team U
UREST00104,913,1255,4,1153 Centre St,REST,Restroom 1 Level 4,REST U0104,Team U
UREST00204,1250,310,4,1153 Centre St,REST,Restroom 2 Level 4,REST U0204,Team U
UELEV00104,1210,395,4,1153 Centre St,ELEV,Elevator 1 Level 4,ELEV U0104,Team U
UELEV00204,1170,1160,4,1153 Centre St,ELEV,Elevator 2 Level 4,ELEV U0204,Team U
UELEV00304,1340,1150,4,1153 Centre St,ELEV,Elevator 3 Level 4,ELEV U0304,Team U
USTAI00104,1300,415,4,1153 Centre St,STAI,Staircase 1 Level 4,STAI U0104,Team U
USTAI00204,1225,1040,4,1153 Centre St,STAI,Staircase 2 Level 4,STAI U0204,Team U
USTAI00304,170,1210,4,1153 Centre St,STAI,Staircase 3 Level 4,STAI U0304,Team U
USTAI00404,725,1240,4,1153 Centre St,STAI,Staircase 4 Level 4,STAI U0404,Team U
USTAI00504,1785,1235,4,1153 Centre St,STAI,Staircase 5 Level 4,STAI U0504,Team U
USTAI00604,2340,1210,4,1153 Centre St,STAI,Staircase 6 Level 4,STAI U0604,Team U
UHALL00104,199,1221,4,1153 Centre St,HALL,Hallway Intersection 1 Level 04 South Hall,Hallway U104,Team U
UHALL00204,360,1221,4,1153 Centre St,HALL,Hallway Intersection 2 Level 04 South Hall,Hallway U204,Team U
UHALL00304,390,1221,4,1153 Centre St,HALL,Hallway Intersection 3 Level 04 South Hall,Hallway U304,Team U
UHALL00404,540,1221,4,1153 Centre St,HALL,Hallway Intersection 4 Level 04 South Hall,Hallway U404,Team U
UHALL00504,590,1221,4,1153 Centre St,HALL,Hallway Intersection 5 Level 04 South Hall,Hallway U504,Team U
UHALL00604,676,1221,4,1153 Centre St,HALL,Hallway Intersection 6 Level 04 South Hall,Hallway U604,Team U
UHALL00704,725,1221,4,1153 Centre St,HALL,Hallway Intersection 7 Level 04 South Hall,Hallway U704,Team U
UHALL00804,912,1221,4,1153 Centre St,HALL,Hallway Intersection 8 Level 04 South Hall,Hallway U804,Team U
UHALL00904,988,1221,4,1153 Centre St,HALL,Hallway Intersection 9 Level 04 South Hall,Hallway U904,Team U
UHALL01004,1118,1221,4,1153 Centre St,HALL,Hallway Intersection 10 Level 04 South Hall,Hallway U1004,Team U
